gene,hazard_ratio,hr_ci_lower,hr_ci_upper,logrank_p_value,cox_p_value
TOP3B,0.7495,0.5325,1.0552,0.06253937043557808,0.09849144216025273
WWP2,1.2081,0.8658,1.6857,0.10910368492213618,0.2661422172435495
UBE2H,1.4028,1.0143,1.9402,0.14330416091395204,0.040800675293261965
PRNP,1.283,0.9648,1.7061,0.21124200427816447,0.08658193395426618
HECTD1,1.3941,1.0303,1.8863,0.23019722600101697,0.03126944645042991
NR2C2,1.2521,1.0288,1.5239,0.2990116903538889,0.024908048571026756
PARK2,1.127,0.9163,1.3861,0.3280570070917783,0.2575052895741561
CIC,1.2152,0.8133,1.8157,0.33256222226487925,0.34146306456852155
PPP2R1A,0.6841,0.4399,1.0638,0.33820449480414655,0.09188129868366902
AR,1.1225,1.006,1.2524,0.38567463488622367,0.038683252876626814
RPN1,0.8355,0.5438,1.2836,0.38887371878369337,0.4120907516469514
CDC42,1.3683,0.76,2.4635,0.5112224399535477,0.29593546286123934
APP,1.1076,0.912,1.3452,0.5200703642327367,0.302673799776533
YWHAE,0.8071,0.5152,1.2646,0.5797703721003744,0.3496745117096013
NTRK1,0.9506,0.8379,1.0783,0.6412100504397451,0.4305931445944732
HDLBP,1.0886,0.6923,1.7118,0.6433871509080629,0.7131173494345127
EP300,1.2458,0.9975,1.5559,0.6987285636775482,0.052684291142040464
HSPA5,1.0101,0.748,1.3642,0.8292952512198857,0.9475329374401212
HNRNPL,1.0414,0.5409,2.005,0.8894703577342429,0.9034825508254545
PTEN,0.9754,0.8015,1.1871,0.9188493595917248,0.8038850964020909
